UnitID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
241720,45,52,70,69,54,62,60,53,67,51
190080,,,,,,,,,,
190099,95,94,94,94,95,95,93,95,95,93
169442,84,81,80,76,71,82,78,77,74,71
388520,,,20,67,40,50,50,0,50,50
132851,,,,,,,,,,
217819,81,79,78,79,79,79,83,81,83,81
139250,56,59,58,57,65,62,57,55,78,88
413617,100,0,100,0,43,60,67,67,69,45
243638,66,58,61,67,66,59,44,57,65,60
193399,78,77,73,78,78,69,67,71,75,73
167394,82,79,84,81,82,86,80,78,84,81
174747,85,89,87,83,91,88,89,89,91,89
181604,75,76,84,70,83,79,79,69,60,63
142559,,59,56,60,57,56,56,57,54,57
182005,,,,,,,,,,
190558,74,77,76,80,80,80,83,81,84,83
160959,79,81,76,84,81,81,81,83,87,89
166124,93,95,95,96,96,94,95,95,95,98
376695,,,59,55,48,52,41,50,57,100
178697,82,75,74,74,74,88,86,88,87,89
493822,,,,,,,,,,
448752,,25,100,67,100,50,0,43,46,50
448761,50,38,13,47,100,0,53,68,63,58
247834,,66,66,67,64,66,63,57,57,64
126669,83,78,77,78,79,72,69,69,72,66
126678,96,95,94,96,96,94,96,95,96,96
127556,74,74,73,73,70,66,65,64,64,66
126711,45,46,55,55,52,51,,,,59
126775,92,92,93,92,94,94,92,89,90,87
128106,63,68,63,66,64,63,63,58,66,64
126818,84,83,82,86,87,85,86,84,83,83
476975,,,,,,,,,,
234979,,,,,,,,,62,61
217934,68,70,70,68,76,74,64,60,67,61
177065,64,69,69,57,49,58,53,46,57,63
144281,71,68,66,70,69,71,67,63,67,66
112570,62,70,86,84,71,70,64,95,85,75
238573,,,,,,,,,,
217925,69,86,73,76,73,69,85,77,82,79
139348,,,,,,,,,,
190150,99,98,97,97,96,96,97,96,96,97
202170,77,78,79,79,79,80,79,80,79,82
139366,72,72,76,73,71,72,66,65,70,70
126942,,,55,52,49,53,53,53,53,55
459417,72,74,76,84,95,94,86,93,86,88
177083,75,86,45,53,63,84,64,86,89,75
237330,59,62,64,67,65,67,64,62,61,65
190248,64,77,76,78,71,75,69,68,73,67
173300,80,85,82,84,82,83,84,80,85,84
177092,,,,,,,,,,
150288,,,,,,,,,,
224004,68,59,60,63,71,67,48,57,54,58
169363,64,74,63,70,62,69,62,52,58,59
144351,62,61,67,66,62,65,67,64,63,68
112075,73,78,75,78,72,79,76,78,72,75
180984,82,78,75,74,76,80,76,79,81,74
208488,70,66,72,72,74,68,71,70,70,65
173328,64,76,65,72,70,69,73,71,66,66
238616,81,76,82,72,76,74,71,74,75,80
493600,94,,,,,,,,,
128902,90,91,91,89,90,91,88,92,90,89
241766,94,76,96,91,89,92,85,83,70,89
217961,74,70,72,70,66,71,73,74,62,72
165495,,,,,,,,,,
190372,91,91,96,96,96,96,96,90,96,94
162283,70,63,66,61,69,69,61,66,65,61
210331,81,77,79,80,80,77,77,68,77,78
153162,76,82,81,78,82,83,83,84,79,81
190415,97,97,97,97,97,97,97,96,97,96
170037,79,79,77,82,79,76,76,73,77,81
235024,74,73,74,74,70,69,78,66,65,72
177117,66,66,72,75,73,66,79,68,72,73
139393,84,86,87,86,85,85,85,87,81,79
177126,,,,,,,,,,
176770,100,100,0,40,100,29,89,88,95,89
169424,,,,,,,,,,
181002,90,89,89,89,90,91,91,90,88,88
475608,63,73,92,71,67,79,81,52,,
106810,52,41,68,53,70,50,66,52,60,53
174862,64,78,66,67,68,66,70,79,63,72
190503,81,77,,,,,,,99,81
177144,58,67,69,64,68,76,67,68,65,73
219949,60,63,70,66,70,62,64,67,71,68
190512,89,88,90,91,91,90,88,92,89,91
190549,80,83,82,82,82,82,86,84,82,82
190567,84,83,86,86,87,86,87,84,86,83
190576,,,,,,,,,,
190594,81,85,83,85,83,86,87,86,85,85
190600,80,80,78,77,78,79,78,78,78,77
190637,83,81,83,86,83,83,81,82,79,80
190646,62,58,70,66,63,65,65,66,64,64
190655,68,69,78,77,76,75,77,77,74,74
190664,82,84,84,84,85,86,84,87,87,88
190682,,,,,,,,,,
190691,62,64,71,73,74,77,74,77,78,75
165529,65,61,68,71,69,71,70,69,66,66
211893,100,100,100,95,100,100,89,96,95,95
113236,,,,77,75,75,73,75,74,74
496070,,,,,,,,,,
190716,81,77,79,81,80,78,79,72,67,73
190725,78,78,77,79,78,82,74,75,76,70
219082,66,67,72,72,74,65,69,60,67,64
219091,65,71,66,76,71,66,77,72,66,57
224226,72,77,70,77,72,72,70,71,74,77
224244,45,50,50,46,34,33,58,63,67,47
224615,53,57,54,51,75,55,57,48,55,56
224305,,,,,,,,,,
139463,63,70,68,81,74,71,71,62,65,71
492102,,,,,,,,,,
182670,98,97,96,96,96,98,97,98,98,97
169479,76,73,71,69,74,73,79,69,68,67
198385,95,95,95,94,96,95,96,97,96,96
